feedback_id,store_id,region,date,rating,category,comment,resolved,channel
FB-00451,M-0003,Midwest,2023-01-03,4,Service Speed,Drink was good but had a short wait.,True,In-Store Kiosk
FB-00366,PN-0001,Pacific Northwest,2023-01-05,4,Food Quality,Mobile app worked great today.,True,In-Store Kiosk
FB-00241,M-0006,Midwest,2023-01-06,4,Cleanliness,Mobile app worked great today.,True,In-Store Kiosk
FB-00296,M-0004,Mid-Atlantic,2023-01-08,4,App Experience,Mobile app worked great today.,True,Google Review
FB-00262,S-0007,Southwest,2023-01-09,3,Loyalty Rewards,Store was a bit crowded.,True,Email Survey
FB-00184,M-0006,Midwest,2023-01-10,5,App Experience,Fastest drive-thru I've been to.,True,In-Store Kiosk
FB-00255,M-0008,Mountain,2023-01-13,5,Cleanliness,Barista remembered my order.,True,Google Review
FB-00043,N-0005,Northeast,2023-01-15,4,App Experience,Usually consistent quality.,True,Email Survey
FB-00528,PN-0005,Pacific Northwest,2023-01-15,4,Service Speed,Mobile app worked great today.,True,App
FB-00162,M-0009,Midwest,2023-01-18,4,Loyalty Rewards,Good experience overall.,True,App
FB-00550,PN-0006,Pacific Northwest,2023-01-22,2,Cleanliness,Store was not clean.,False,App
FB-00313,N-0008,Northeast,2023-01-22,3,Staff Friendliness,Store was a bit crowded.,True,Google Review
FB-00145,N-0008,Northeast,2023-01-24,3,Food Quality,"Average visit, nothing special.",True,App
FB-00007,M-0007,Mountain,2023-01-25,4,Cleanliness,Drink was good but had a short wait.,True,Email Survey
FB-00390,N-0006,Northeast,2023-01-25,3,Loyalty Rewards,Store was a bit crowded.,True,Email Survey
FB-00251,N-0008,Northeast,2023-01-25,4,Drink Quality,Drink was good but had a short wait.,True,In-Store Kiosk
FB-00331,S-0010,Southeast,2023-01-25,4,App Experience,Usually consistent quality.,True,Email Survey
FB-00561,S-0002,Southeast,2023-01-27,4,Loyalty Rewards,Drink was good but had a short wait.,True,Email Survey
FB-00196,M-0003,Midwest,2023-01-28,4,Staff Friendliness,Good experience overall.,True,Google Review
FB-00217,S-0003,Southeast,2023-01-28,2,Loyalty Rewards,Out of my usual syrup again.,False,App
FB-00107,PN-0010,Pacific Northwest,2023-01-29,5,Service Speed,My drink was perfect.,True,In-Store Kiosk
